panel	system	block	metric	N	estimate	CI_low	CI_high
A	K2	E2	evaluated_N	1403			
A	K3	E2	evaluated_N	495			
A	K4	E2	evaluated_N	13783			
A	K2	E4	evaluated_N	1083			
A	K3	E4	evaluated_N	442			
A	K4	E4	evaluated_N	11724			
A	K2	E5	evaluated_N	1228			
A	K3	E5	evaluated_N	430			
A	K4	E5	evaluated_N	11379			
B	K2	E1	direct_E1_Spearman		-0.00794136771759616		
B	K3	E1	direct_E1_Spearman		0.0202136939448365		
B	K4	E1	direct_E1_Spearman		0.000835215341127363		
C	K2	E1	OOF_R2_E1		-0.00190650867933995	-0.00971674923025905	-0.000702931188090573
C	K3	E1	OOF_R2_E1		-0.00784711563386264	-0.029250800243495	0.00322705848523535
C	K4	E1	OOF_R2_E1		-0.000340339303135373	-0.000741392320497725	-0.00017356963017251
D	K2	E2	delta_OOF_R2_vs_E1		-0.00029053312942251	-0.00561630735946813	0.00176577735046216
D	K3	E2	delta_OOF_R2_vs_E1		-0.00873725999234365	-0.0229899136240164	0.00358351733071499
D	K4	E2	delta_OOF_R2_vs_E1		3.90712572280183e-05	-0.000728405176310593	0.000788262152296767
D	K2	E4	delta_OOF_R2_vs_E1		-0.000845324957399418	-0.00216236082432111	-0.00022253611056679
D	K3	E4	delta_OOF_R2_vs_E1		-0.0101952294507408	-0.0307335232055805	0.00071561666679229
D	K4	E4	delta_OOF_R2_vs_E1		-0.000406323504617001	-0.000886434792457658	-9.23049128860209e-05
D	K2	E5	delta_OOF_R2_vs_E1		-0.00147112854634068	-0.0105588803475752	0.000779410688038701
D	K3	E5	delta_OOF_R2_vs_E1		0.00252355810443028	-0.0144388954461271	0.0180564221807384
D	K4	E5	delta_OOF_R2_vs_E1		-0.000424569209769299	-0.000762017285139965	-9.03623568214108e-05
E		E2	cross_system_gate		1		
E		E4	cross_system_gate		0		
E		E5	cross_system_gate		1		
