panel	system	subgroup	label	metric	estimate	CI_low	CI_high
A	K2	FAMILY	E2	delta_OOF_R2_vs_E1	-0.00140350400144884	-0.0165006164680192	0.000999352307646073
A	K2	FAMILY	E4	delta_OOF_R2_vs_E1	-0.000254745297621595	-0.00304079319548191	-0.000101610491925014
A	K2	FAMILY	E5	delta_OOF_R2_vs_E1	-0.00456937812254221	-0.0212637553946186	-0.00274798848175748
A	K3	FAMILY	E2	delta_OOF_R2_vs_E1	-0.00433684622798114	-0.0203231986417766	0.0063242623739426
A	K3	FAMILY	E4	delta_OOF_R2_vs_E1	0.000735332741445216	-0.00515457767688996	0.00345722783556298
A	K3	FAMILY	E5	delta_OOF_R2_vs_E1	-0.0214728548587557	-0.0523333447928967	-0.00141756264604799
A	K4	FAMILY	E2	delta_OOF_R2_vs_E1	-0.000722744987158519	-0.00180305720714463	0.000237276666973767
A	K4	FAMILY	E4	delta_OOF_R2_vs_E1	-0.000139962960209683	-0.000361130514690639	-1.18242381629386e-05
A	K4	FAMILY	E5	delta_OOF_R2_vs_E1	-0.000449369429408319	-0.000762665847850091	0.00012117863135559
B	K2	COMPLEX	E2	delta_OOF_R2_vs_E1	-0.000656930509295606	-0.00656311157212273	0.00107896785500147
B	K2	COMPLEX	E4	delta_OOF_R2_vs_E1	-0.00324799131983022	-0.00820243194488087	-0.00205639255979321
B	K2	COMPLEX	E5	delta_OOF_R2_vs_E1	-0.00151428657598829	-0.00905422893155563	0.000604383651822976
B	K3	COMPLEX	E2	delta_OOF_R2_vs_E1	-0.000526241444307463	-0.0143587891935192	0.0103583887536741
B	K3	COMPLEX	E4	delta_OOF_R2_vs_E1	-0.000120563801157214	-0.00638732735022547	0.00391866823210217
B	K3	COMPLEX	E5	delta_OOF_R2_vs_E1	-0.00610519065940918	-0.0257874256082232	0.01126568606134
B	K4	COMPLEX	E2	delta_OOF_R2_vs_E1	-0.000308527210307608	-0.00137417469110287	0.000509363434159282
B	K4	COMPLEX	E4	delta_OOF_R2_vs_E1	-1.6160008114996e-05	-0.000109422149081628	6.40759975031435e-05
B	K4	COMPLEX	E5	delta_OOF_R2_vs_E1	-0.000160850005935353	-0.000439163236092482	0.000147715117465524
C	K2	LOSO	Chaffin-out | E2	delta_OOF_R2_vs_E1	-0.00247931867959794		
C	K2	LOSO	Chaffin-out | E5	delta_OOF_R2_vs_E1	-0.00198490431409404		
C	K3	LOSO	Chaffin-out | E2	delta_OOF_R2_vs_E1	-0.00819793264533941		
C	K3	LOSO	Chaffin-out | E5	delta_OOF_R2_vs_E1	-0.0309046733459826		
C	K4	LOSO	Chaffin-out | E2	delta_OOF_R2_vs_E1	4.50551390900333e-05		
C	K4	LOSO	Chaffin-out | E5	delta_OOF_R2_vs_E1	-0.000789729515221271		
C	K2	LOSO	Reichart-out | E2	delta_OOF_R2_vs_E1	0.000375145785674436		
C	K2	LOSO	Reichart-out | E5	delta_OOF_R2_vs_E1	-0.00664537958696987		
C	K3	LOSO	Reichart-out | E2	delta_OOF_R2_vs_E1	-0.00436910197584339		
C	K3	LOSO	Reichart-out | E5	delta_OOF_R2_vs_E1	-0.0140691778903226		
C	K4	LOSO	Reichart-out | E2	delta_OOF_R2_vs_E1	-0.000179000651753247		
C	K4	LOSO	Reichart-out | E5	delta_OOF_R2_vs_E1	-0.000369236429436537		
C	K2	LOSO	Simonson-out | E2	delta_OOF_R2_vs_E1	-0.000654151925102875		
C	K2	LOSO	Simonson-out | E5	delta_OOF_R2_vs_E1	-0.00161027532183811		
C	K3	LOSO	Simonson-out | E2	delta_OOF_R2_vs_E1	-0.00231321559356834		
C	K3	LOSO	Simonson-out | E5	delta_OOF_R2_vs_E1	-0.00796475591076162		
C	K4	LOSO	Simonson-out | E2	delta_OOF_R2_vs_E1	-0.00112257666275051		
C	K4	LOSO	Simonson-out | E5	delta_OOF_R2_vs_E1	-0.000402816506018588		
D	K2	HF_LABEL	E1	observed_E1_R2	-0.00843071207336843	-0.0112349755038807	-0.00689789826762276
D	K3	HF_LABEL	E1	observed_E1_R2	-0.00770720175894457	-0.0129159334906744	0.00458373699918125
D	K4	HF_LABEL	E1	observed_E1_R2	-0.000723305427118071	-0.00103599546674955	0.000203838909295885
E		SUMMARY	Family block	cross_system_signals_retained	0		
E		SUMMARY	Complex block	cross_system_signals_retained	0		
E		SUMMARY	LOSO	cross_system_signals_retained	0		
E		SUMMARY	HF-label perm.	cross_system_signals_retained	0		
